de_mm,dref_pol,cotovelo_90_raio_longo_m,cotovelo_90_raio_medio_m,cotovelo_90_raio_curto_m,cotovelo_45_m,curva_90_r_div_d_1_2_m,curva_90_r_div_d_1_m,curva_45_m,entrada_normal_m,entrada_de_borda_m,registro_de_gaveta_aberto_m,registro_de_globo_aberto_m,registro_de_angulo_aberto_m,te_passagem_direta_m,te_passagem_direita_m,te_saida_lateral_m,valvula_de_pe_e_crivo_m,saida_da_canalizacao_m,valvula_de_retencao_tipo_leve_m,valvula_de_retencao_tipo_pesado_m
13,01/fev,0.3,0.4,0.5,0.2,0.2,0.3,0.2,0.2,0.4,0.1,4.9,2.6,0.3,1.0,1.0,3.6,0.4,1.1,1.6
19,03/abr,0.4,0.6,0.7,0.3,0.3,0.4,0.2,0.2,0.5,0.1,6.7,3.6,0.4,1.4,1.4,5.6,0.5,1.6,2.4
25,1,0.5,0.7,0.9,0.4,0.3,0.5,0.3,0.3,0.7,0.2,9.0,4.7,0.5,1.7,1.7,7.3,0.7,2.1,3.2
32,1 1/4,0.7,0.9,1.1,0.5,0.4,0.6,0.3,0.4,0.9,0.3,11.3,5.6,0.7,2.3,2.3,9.0,0.9,2.7,4.0
38,1 1/2,0.9,1.1,1.3,0.6,0.5,0.7,0.3,0.5,1.0,0.3,13.4,6.7,0.7,2.8,2.8,11.6,1.0,3.2,4.8
50,2,1.1,1.4,1.7,0.8,0.6,0.9,0.4,0.7,1.5,0.4,17.4,8.5,0.9,3.5,3.5,14.0,1.5,4.2,6.4
63,2 1/2,1.3,1.7,2.0,0.9,0.8,1.0,0.5,0.9,1.9,0.4,21.0,10.0,1.0,4.3,4.3,17.0,1.9,5.2,8.1
75,3,1.6,2.1,2.5,1.2,1.0,1.3,0.6,1.1,2.2,0.5,26.0,13.0,1.6,5.2,5.2,20.0,2.2,6.3,9.7
100,4,2.1,2.8,3.4,1.5,1.3,1.6,0.7,1.6,3.2,0.7,34.0,17.0,2.1,6.7,6.7,23.0,3.2,8.4,12.9
125,5,2.7,3.7,4.2,1.9,1.6,2.1,1.1,2.0,4.0,0.9,43.0,21.0,2.7,8.4,8.4,30.0,4.0,10.4,16.1
150,6,3.4,4.3,4.9,2.3,1.9,2.5,1.1,2.5,5.0,1.1,51.0,26.0,3.4,10.0,10.0,39.0,5.0,12.5,19.3
200,8,4.3,5.5,6.4,3.0,2.4,3.3,1.5,3.5,6.0,1.4,67.0,34.0,4.3,13.0,13.0,52.0,6.0,16.0,25.0
250,10,5.5,6.7,7.9,3.8,3.0,4.1,1.8,4.5,7.5,1.7,85.0,43.0,5.5,16.0,16.0,65.0,7.5,20.0,32.0
300,12,6.1,7.9,9.5,4.6,3.6,4.8,2.2,5.5,9.0,2.1,102.0,51.0,6.1,19.0,19.0,78.0,9.0,24.0,38.0
350,14,7.3,9.5,10.5,5.3,4.4,5.4,2.5,6.2,11.0,2.4,120.0,60.0,7.3,22.0,22.0,90.0,11.0,28.0,45.0
